DEPARTAMENTO,LATITUD,LONGITUD
AMAZONAS,-1.4429,-71.5724
ANTIOQUIA,6.5255,-75.5680
ARAUCA,6.5652,-71.1610
ATLÁNTICO,10.6966,-74.8741
BOLÍVAR,8.6704,-74.0300
BOYACÁ,5.4545,-73.3620
CALDAS,5.2983,-75.2479
CAQUETÁ,0.8699,-73.8418
CASANARE,5.7589,-71.5724
CAUCA,2.7050,-76.8260
CESAR,9.3373,-73.6536
CHOCÓ,5.2528,-76.8259
CÓRDOBA,8.0493,-75.5740
CUNDINAMARCA,4.8720,-74.0672
GUAINÍA,2.5854,-68.5247
GUAVIARE,1.5708,-72.3983
HUILA,2.5359,-75.5277
GUAJIRA,11.5449,-72.9070
MAGDALENA,10.2876,-74.8834
META,3.2701,-73.0877
NARIÑO,1.2891,-77.3570
NORTE DE SANTANDER,7.9463,-72.8988
PUTUMAYO,0.5077,-76.4850
QUINDÍO,4.4610,-75.6674
RISARALDA,4.8143,-75.6926
SAN ANDRÉS,12.5847,-81.7006
SANTANDER,6.8333,-73.1673
SUCRE,9.3047,-75.2853
TOLIMA,4.0925,-75.1545
VALLE,3.8360,-76.3050
VAUPÉS,0.8551,-70.8120
VICHADA,4.4238,-69.2878
